name,year,km_driven,fuel,seller_type,transmission,owner,age,brand,km_per_year
Tata Safari Storme VX,2013,206500,Diesel,Individual,Manual,First Owner,12,Tata,17208.333333333332
Hyundai Santro Xing GLS,2013,60000,Petrol,Individual,Manual,First Owner,12,Hyundai,5000.0
Maruti Baleno Alpha 1.2,2018,40000,Petrol,Individual,Manual,First Owner,7,Maruti,5714.285714285715
Hyundai i20 Asta 1.4 CRDi,2016,20000,Diesel,Individual,Manual,First Owner,9,Hyundai,2222.222222222222
Honda Amaze S i-VTEC,2016,11958,Petrol,Dealer,Manual,First Owner,9,Honda,1328.6666666666667
Mahindra Jeep CL 500 MDI,1996,35000,Diesel,Individual,Manual,Second Owner,29,Mahindra,1206.896551724138
Renault KWID RXT,2017,10000,Petrol,Individual,Manual,First Owner,8,Renault,1250.0
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2006,50000,Diesel,Individual,Manual,First Owner,19,Toyota,2631.5789473684213
Maruti Alto 800 LXI,2018,30000,Petrol,Dealer,Manual,First Owner,7,Maruti,4285.714285714285
Mahindra XUV500 W8 2WD,2014,100000,Diesel,Individual,Manual,Second Owner,11,Mahindra,9090.90909090909
Mahindra Scorpio M2DI,2013,110000,Diesel,Individual,Manual,Second Owner,12,Mahindra,9166.666666666666
Tata Zest Revotron 1.2T XE,2016,90000,Petrol,Individual,Manual,First Owner,9,Tata,10000.0
Mahindra Bolero Power Plus LX,2016,60000,Diesel,Individual,Manual,First Owner,9,Mahindra,6666.666666666667
Toyota Etios Liva GD,2012,56000,Diesel,Individual,Manual,First Owner,13,Toyota,4307.692307692308
Tata Indica Vista Quadrajet LS,2011,160000,Diesel,Individual,Manual,Second Owner,14,Tata,11428.57142857143
Maruti Swift Dzire LDI Optional,2015,170000,Diesel,Individual,Manual,Second Owner,10,Maruti,17000.0
Maruti Esteem Vxi - BSIII,2006,60000,Petrol,Individual,Manual,Second Owner,19,Maruti,3157.8947368421054
Nissan Micra Active XV S,2013,30000,Petrol,Individual,Manual,First Owner,12,Nissan,2500.0
Tata New Safari DICOR 2.2 EX 4x2,2011,76400,Diesel,Individual,Manual,Second Owner,14,Tata,5457.142857142857
Maruti Esteem Lxi,2004,60000,Petrol,Individual,Manual,First Owner,21,Maruti,2857.1428571428573
Chevrolet Tavera Neo 3 Max 9 Str BSIII,2014,120000,Diesel,Individual,Manual,Second Owner,11,Chevrolet,10909.09090909091
Tata Indica Vista Aqua 1.4 TDI,2010,120000,Diesel,Individual,Manual,Second Owner,15,Tata,8000.0
Audi A4 1.8 TFSI,2012,60000,Petrol,Individual,Automatic,Third Owner,13,Audi,4615.384615384615
Maruti Wagon R LX Minor,2007,100000,Petrol,Individual,Manual,First Owner,18,Maruti,5555.555555555556
Mahindra TUV 300 T10,2018,70000,Diesel,Individual,Manual,First Owner,7,Mahindra,10000.0
Mahindra Scorpio VLX 2WD ABS AT BSIII,2009,170000,Diesel,Individual,Automatic,Third Owner,16,Mahindra,10625.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,90000,Diesel,Individual,Manual,Second Owner,11,Toyota,8181.818181818182
Mahindra Thar CRDe AC,2014,100000,Diesel,Individual,Manual,Second Owner,11,Mahindra,9090.90909090909
Hyundai i20 Active 1.2 SX,2015,46000,Petrol,Individual,Manual,First Owner,10,Hyundai,4600.0
Maruti Zen Estilo LXI Green (CNG),2010,68000,CNG,Individual,Manual,Second Owner,15,Maruti,4533.333333333333
BMW X1 sDrive 20d xLine,2019,9500,Diesel,Individual,Automatic,First Owner,6,BMW,1583.3333333333333
Ford Fiesta Diesel Trend,2012,91245,Diesel,Dealer,Manual,First Owner,13,Ford,7018.846153846154
Hyundai i10 Magna 1.2 iTech SE,2011,80000,Petrol,Individual,Manual,Second Owner,14,Hyundai,5714.285714285715
Toyota Innova Crysta 2.4 VX MT 8S BSIV,2018,15000,Diesel,Individual,Manual,First Owner,7,Toyota,2142.8571428571427
Maruti Alto LX,2008,66782,Petrol,Individual,Manual,Second Owner,17,Maruti,3928.3529411764703
Tata Indigo CS eLS BS IV,2011,120000,Diesel,Individual,Manual,First Owner,14,Tata,8571.42857142857
Mahindra Bolero Power Plus SLX,2019,35000,Diesel,Individual,Manual,First Owner,6,Mahindra,5833.333333333333
Maruti Swift Dzire VDI,2013,37000,Diesel,Dealer,Manual,First Owner,12,Maruti,3083.3333333333335
Tata Indigo CS LS (TDI) BS-III,2015,110000,Diesel,Individual,Manual,Second Owner,10,Tata,11000.0
Hyundai i20 1.2 Asta Option,2017,37000,Petrol,Individual,Manual,First Owner,8,Hyundai,4625.0
Mahindra Bolero 2011-2019 SLX,2013,107000,Diesel,Individual,Manual,First Owner,12,Mahindra,8916.666666666666
Ford Ikon 1.4 TDCi DuraTorq,2009,100000,Diesel,Individual,Manual,Third Owner,16,Ford,6250.0
Mahindra XUV500 W8 2WD,2013,102989,Diesel,Dealer,Manual,First Owner,12,Mahindra,8582.416666666666
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,145000,Diesel,Individual,Manual,Second Owner,11,Toyota,13181.818181818182
Maruti 800 AC,2009,250000,Petrol,Individual,Manual,Second Owner,16,Maruti,15625.0
Mahindra Bolero SLX 2WD,2007,100000,Diesel,Individual,Manual,Second Owner,18,Mahindra,5555.555555555556
Hyundai Grand i10 Asta Option,2015,31080,Petrol,Dealer,Manual,First Owner,10,Hyundai,3108.0
Maruti 800 AC,1999,100000,Petrol,Individual,Manual,Second Owner,26,Maruti,3846.153846153846
Volkswagen Polo Diesel Highline 1.2L,2013,100000,Diesel,Individual,Manual,Second Owner,12,Volkswagen,8333.333333333334
Honda City 1.5 V MT,2018,8000,Petrol,Dealer,Manual,First Owner,7,Honda,1142.857142857143
Fiat Linea Emotion,2010,100000,Petrol,Individual,Manual,First Owner,15,Fiat,6666.666666666667
Maruti Alto K10 LXI,2011,70000,Petrol,Individual,Manual,Second Owner,14,Maruti,5000.0
Renault Duster 85PS Diesel RxL Plus,2013,60000,Diesel,Individual,Manual,Second Owner,12,Renault,5000.0
Hyundai Grand i10 Sportz,2014,25000,Petrol,Individual,Manual,First Owner,11,Hyundai,2272.7272727272725
Maruti Alto 800 VXI,2019,5000,Petrol,Individual,Manual,First Owner,6,Maruti,833.3333333333334
Fiat Punto 1.2 Active,2010,50000,Petrol,Individual,Manual,Second Owner,15,Fiat,3333.3333333333335
Hyundai Xcent 1.2 CRDi E,2017,43000,Diesel,Individual,Manual,First Owner,8,Hyundai,5375.0
Land Rover Discovery Sport SD4 HSE Luxury,2016,53000,Diesel,Dealer,Automatic,First Owner,9,Land,5888.888888888889
Honda City i DTEC VX,2014,90000,Diesel,Individual,Manual,Second Owner,11,Honda,8181.818181818182
Tata Indigo LS,2010,102000,Diesel,Individual,Manual,Second Owner,15,Tata,6800.0
Tata Xenon XT EX 4X2,2012,80000,Diesel,Individual,Manual,Second Owner,13,Tata,6153.846153846154
Maruti SX4 VDI,2011,100000,Diesel,Individual,Manual,First Owner,14,Maruti,7142.857142857143
Hyundai EON Magna Plus Option,2018,25000,Petrol,Individual,Manual,First Owner,7,Hyundai,3571.4285714285716
Maruti Ertiga VDI,2014,120000,Diesel,Individual,Manual,Second Owner,11,Maruti,10909.09090909091
Tata Nano Lx,2011,40000,Petrol,Individual,Manual,First Owner,14,Tata,2857.1428571428573
Honda Brio S MT,2013,50000,Petrol,Individual,Manual,Third Owner,12,Honda,4166.666666666667
Maruti Vitara Brezza LDi,2018,25000,Diesel,Individual,Manual,First Owner,7,Maruti,3571.4285714285716
Mahindra Scorpio 2.6 Turbo 9 Str,2007,100000,Diesel,Individual,Manual,Third Owner,18,Mahindra,5555.555555555556
Maruti Alto 800 LXI,2015,50000,Petrol,Individual,Manual,Second Owner,10,Maruti,5000.0
Hyundai EON Magna Plus,2018,31000,Petrol,Individual,Manual,First Owner,7,Hyundai,4428.571428571428
Honda Amaze VX Diesel BSIV,2018,49000,Diesel,Dealer,Manual,First Owner,7,Honda,7000.0
Honda City V MT,2012,10000,Petrol,Individual,Manual,First Owner,13,Honda,769.2307692307693
Mahindra XUV500 AT W10 FWD,2015,60000,Diesel,Dealer,Automatic,First Owner,10,Mahindra,6000.0
Toyota Innova 2.5 E 8 STR,2012,70000,Diesel,Individual,Manual,First Owner,13,Toyota,5384.615384615385
Maruti Swift Dzire VDi,2010,120000,Diesel,Individual,Manual,Third Owner,15,Maruti,8000.0
Chevrolet Sail 1.3 LS,2013,56000,Diesel,Dealer,Manual,First Owner,12,Chevrolet,4666.666666666667
Toyota Etios Cross 1.2L G,2015,60000,Petrol,Individual,Manual,First Owner,10,Toyota,6000.0
Maruti Eeco 5 STR With AC Plus HTR CNG,2010,80000,CNG,Individual,Manual,Fourth & Above Owner,15,Maruti,5333.333333333333
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2005,120000,Diesel,Individual,Manual,Third Owner,20,Mahindra,6000.0
Hyundai Santro Xing GLS,2012,45000,Petrol,Individual,Manual,Second Owner,13,Hyundai,3461.5384615384614
Maruti Alto LX,2012,80000,Petrol,Individual,Manual,Second Owner,13,Maruti,6153.846153846154
Chevrolet Captiva LT,2009,130000,Diesel,Individual,Manual,First Owner,16,Chevrolet,8125.0
Renault KWID RXL BSIV,2017,18500,Petrol,Dealer,Manual,First Owner,8,Renault,2312.5
Maruti S-Cross Delta DDiS 200 SH,2019,10000,Diesel,Individual,Manual,First Owner,6,Maruti,1666.6666666666667
Maruti Esteem AX,1997,70000,Petrol,Individual,Automatic,First Owner,28,Maruti,2500.0
Hyundai i10 Era,2011,139000,Petrol,Individual,Manual,Second Owner,14,Hyundai,9928.57142857143
Hyundai i20 Asta Option 1.2,2016,25000,Petrol,Individual,Manual,First Owner,9,Hyundai,2777.777777777778
Hyundai i10 Magna LPG,2013,88600,LPG,Individual,Manual,First Owner,12,Hyundai,7383.333333333333
Maruti Alto LXi BSIII,2010,40000,Petrol,Individual,Manual,Second Owner,15,Maruti,2666.6666666666665
Maruti Wagon R VXI BSIII,2004,80000,Petrol,Individual,Manual,Second Owner,21,Maruti,3809.5238095238096
Tata Indigo TDI,2008,150000,Diesel,Individual,Manual,Third Owner,17,Tata,8823.529411764706
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,350000,Diesel,Individual,Manual,Second Owner,15,Chevrolet,23333.333333333332
Hyundai i20 1.2 Sportz,2012,110000,Petrol,Individual,Manual,Third Owner,13,Hyundai,8461.538461538461
Mahindra TUV 300 mHAWK100 T8,2017,25000,Diesel,Individual,Manual,First Owner,8,Mahindra,3125.0
Honda City i-VTEC VX,2018,28635,Petrol,Dealer,Manual,First Owner,7,Honda,4090.714285714286
Hyundai Elite i20 Petrol Asta Option,2018,27000,Petrol,Individual,Manual,First Owner,7,Hyundai,3857.142857142858
Maruti Swift Dzire VDI,2015,60000,Diesel,Individual,Manual,First Owner,10,Maruti,6000.0
Mahindra Scorpio LX BSIV,2012,150000,Diesel,Individual,Manual,First Owner,13,Mahindra,11538.46153846154
Hyundai Creta 1.6 CRDi SX,2017,39221,Diesel,Dealer,Manual,First Owner,8,Hyundai,4902.625
Maruti Swift VDI,2012,109000,Diesel,Individual,Manual,First Owner,13,Maruti,8384.615384615385
Maruti Swift Dzire VDI,2014,120000,Diesel,Individual,Manual,First Owner,11,Maruti,10909.09090909091
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2006,300000,Diesel,Individual,Manual,First Owner,19,Toyota,15789.473684210529
Honda City 1.5 E MT,2010,50000,Petrol,Individual,Manual,First Owner,15,Honda,3333.3333333333335
Chevrolet Beat Diesel LS,2012,100000,Diesel,Individual,Manual,Second Owner,13,Chevrolet,7692.307692307692
Toyota Innova Crysta 2.4 GX AT,2018,23974,Diesel,Dealer,Automatic,Second Owner,7,Toyota,3424.8571428571427
Maruti 800 AC BSIII,2007,52000,Petrol,Individual,Manual,First Owner,18,Maruti,2888.8888888888887
Maruti SX4 S Cross DDiS 320 Zeta,2016,80000,Diesel,Individual,Manual,First Owner,9,Maruti,8888.888888888889
Chevrolet Beat Diesel LS,2012,55130,Diesel,Dealer,Manual,First Owner,13,Chevrolet,4240.7692307692305
Audi A4 2.0 TDI,2011,58000,Diesel,Dealer,Automatic,First Owner,14,Audi,4142.857142857143
Mahindra Jeep MM 540,1996,60000,Diesel,Individual,Manual,First Owner,29,Mahindra,2068.9655172413795
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,75000,Diesel,Dealer,Manual,First Owner,9,Toyota,8333.333333333334
Datsun RediGO SV 1.0,2019,1300,Petrol,Individual,Manual,First Owner,6,Datsun,216.66666666666663
Maruti Alto LX,2012,70000,Petrol,Individual,Manual,Second Owner,13,Maruti,5384.615384615385
Maruti Swift Dzire LDI,2018,38000,Diesel,Individual,Manual,Second Owner,7,Maruti,5428.571428571428
Hyundai Getz GLS,2005,120000,Petrol,Individual,Manual,Third Owner,20,Hyundai,6000.0
Toyota Innova 2.5 G4 Diesel 8-seater,2007,80000,Diesel,Individual,Manual,Second Owner,18,Toyota,4444.444444444444
Hyundai EON D Lite,2014,76000,Petrol,Individual,Manual,Second Owner,11,Hyundai,6909.090909090909
Honda Jazz 1.2 S i VTEC,2017,50000,Petrol,Individual,Manual,First Owner,8,Honda,6250.0
Ford Freestyle Titanium Plus Diesel BSIV,2019,16000,Diesel,Individual,Manual,First Owner,6,Ford,2666.6666666666665
Hyundai EON Era Plus,2014,40000,Petrol,Individual,Manual,Second Owner,11,Hyundai,3636.363636363637
Chevrolet Beat LS,2012,50000,Petrol,Individual,Manual,First Owner,13,Chevrolet,3846.153846153846
Nissan Kicks XL D BSIV,2019,4000,Diesel,Individual,Manual,First Owner,6,Nissan,666.6666666666666
Chevrolet Beat LS,2016,125000,Petrol,Individual,Manual,First Owner,9,Chevrolet,13888.888888888889
Mahindra Scorpio S2 7 Seater,2015,120000,Diesel,Individual,Manual,First Owner,10,Mahindra,12000.0
Maruti Alto LX,2006,120000,Petrol,Individual,Manual,Third Owner,19,Maruti,6315.789473684211
Hyundai Xcent 1.2 VTVT E Plus,2018,70000,Petrol,Individual,Manual,First Owner,7,Hyundai,10000.0
Maruti Eeco 5 Seater Standard BSIV,2019,5000,Petrol,Individual,Manual,First Owner,6,Maruti,833.3333333333334
Maruti Swift Dzire VDI,2018,25000,Diesel,Individual,Manual,First Owner,7,Maruti,3571.4285714285716
Mahindra Bolero SLX,2011,140000,Diesel,Individual,Manual,First Owner,14,Mahindra,10000.0
Chevrolet Beat Diesel LT,2011,80000,Diesel,Individual,Manual,Second Owner,14,Chevrolet,5714.285714285715
Chevrolet Cruze LTZ,2010,60000,Diesel,Individual,Manual,Third Owner,15,Chevrolet,4000.0
Maruti Ertiga VXI CNG,2018,80000,CNG,Individual,Manual,First Owner,7,Maruti,11428.57142857143
Maruti 800 AC,2013,80000,Petrol,Individual,Manual,First Owner,12,Maruti,6666.666666666667
Toyota Corolla Altis 1.8 VL CVT,2018,25000,Petrol,Dealer,Automatic,First Owner,7,Toyota,3571.4285714285716
Maruti Baleno Delta 1.2,2018,20000,Petrol,Individual,Manual,First Owner,7,Maruti,2857.1428571428573
Maruti Alto K10 2010-2014 VXI,2010,70000,Petrol,Individual,Manual,Third Owner,15,Maruti,4666.666666666667
Chevrolet Spark 1.0 LS,2011,60000,Petrol,Individual,Manual,Second Owner,14,Chevrolet,4285.714285714285
Ford EcoSport 1.5 Petrol Titanium BSIV,2017,19000,Petrol,Individual,Manual,First Owner,8,Ford,2375.0
Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,2010,150000,Diesel,Individual,Manual,Second Owner,15,Toyota,10000.0
Tata Manza Aura (ABS) Quadrajet BS IV,2010,150000,Diesel,Individual,Manual,Second Owner,15,Tata,10000.0
Honda Jazz VX CVT,2016,32000,Petrol,Dealer,Automatic,First Owner,9,Honda,3555.5555555555557
Mahindra Xylo E4,2012,99000,Diesel,Dealer,Manual,First Owner,13,Mahindra,7615.384615384615
Mahindra Bolero DI DX 7 Seater,2007,120000,Diesel,Individual,Manual,First Owner,18,Mahindra,6666.666666666667
Ford Figo Titanium Diesel BSIV,2010,86017,Diesel,Dealer,Manual,Second Owner,15,Ford,5734.466666666666
Maruti Eeco 5 Seater AC BSIV,2017,40000,Petrol,Individual,Manual,Second Owner,8,Maruti,5000.0
Maruti Baleno Zeta 1.2,2019,40000,Petrol,Individual,Manual,First Owner,6,Maruti,6666.666666666667
Hyundai Xcent 1.1 CRDi SX Option,2014,55850,Diesel,Dealer,Manual,First Owner,11,Hyundai,5077.272727272727
Datsun GO T Option BSIV,2015,25000,Petrol,Individual,Manual,First Owner,10,Datsun,2500.0
Honda Amaze VX i-DTEC,2013,94000,Diesel,Individual,Manual,Second Owner,12,Honda,7833.333333333333
Datsun RediGO AMT 1.0 S,2018,25000,Petrol,Individual,Automatic,First Owner,7,Datsun,3571.4285714285716
Volkswagen Ameo 1.2 MPI Trendline,2018,13000,Petrol,Individual,Manual,First Owner,7,Volkswagen,1857.142857142857
Hyundai Xcent 1.2 Kappa S,2016,96000,Petrol,Individual,Manual,First Owner,9,Hyundai,10666.666666666666
Volkswagen Polo 2015-2019 1.2 MPI Highline,2017,44000,Petrol,Dealer,Manual,First Owner,8,Volkswagen,5500.0
Mahindra XUV500 W10 2WD,2016,35000,Diesel,Individual,Manual,First Owner,9,Mahindra,3888.8888888888887
Hyundai Getz GLS ABS,2005,22000,Petrol,Individual,Manual,First Owner,20,Hyundai,1100.0
Maruti Wagon R VXI BS IV,2017,30000,Petrol,Individual,Manual,First Owner,8,Maruti,3750.0
Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2014,90000,Diesel,Individual,Manual,Third Owner,11,Toyota,8181.818181818182
Land Rover Discovery Sport TD4 HSE 7S,2018,68000,Diesel,Individual,Automatic,First Owner,7,Land,9714.285714285714
Maruti Alto K10 2010-2014 VXI,2012,40000,Petrol,Individual,Manual,First Owner,13,Maruti,3076.923076923077
Maruti Ertiga VDI,2013,110000,Diesel,Individual,Manual,First Owner,12,Maruti,9166.666666666666
Hyundai i20 Asta 1.4 CRDi,2016,80000,Diesel,Individual,Manual,First Owner,9,Hyundai,8888.888888888889
Mahindra Bolero DI DX 8 Seater,2009,55000,Diesel,Individual,Manual,Second Owner,16,Mahindra,3437.5
Hyundai Xcent 1.2 VTVT S,2019,80000,Petrol,Individual,Manual,First Owner,6,Hyundai,13333.333333333334
Datsun redi-GO AMT 1.0 T Option,2018,15000,Petrol,Dealer,Automatic,First Owner,7,Datsun,2142.8571428571427
Maruti Baleno Delta Automatic,2018,50000,Petrol,Individual,Automatic,First Owner,7,Maruti,7142.857142857143
Maruti Zen Estilo VXI BSIV,2010,52047,Petrol,Individual,Manual,First Owner,15,Maruti,3469.8
Chevrolet Aveo 1.4 LS,2010,74510,Petrol,Dealer,Manual,First Owner,15,Chevrolet,4967.333333333333
Mahindra XUV500 AT W10 FWD,2018,30000,Diesel,Individual,Automatic,First Owner,7,Mahindra,4285.714285714285
Hyundai i10 Magna 1.1L,2014,60000,Petrol,Individual,Manual,Fourth & Above Owner,11,Hyundai,5454.545454545455
Renault KWID RXT,2016,40000,Petrol,Individual,Manual,First Owner,9,Renault,4444.444444444444
Audi A6 2.0 TDI  Design Edition,2013,50000,Diesel,Dealer,Automatic,First Owner,12,Audi,4166.666666666667
Maruti Vitara Brezza ZDi Plus Dual Tone,2018,10000,Diesel,Individual,Manual,First Owner,7,Maruti,1428.571428571429
Mahindra Scorpio M2DI,2010,90000,Diesel,Individual,Manual,First Owner,15,Mahindra,6000.0
Mahindra TUV 300 mHAWK100 T8,2017,60000,Diesel,Individual,Manual,First Owner,8,Mahindra,7500.0
Skoda Superb Elegance 2.0 TDI CR AT,2011,235000,Diesel,Individual,Automatic,First Owner,14,Skoda,16785.714285714286
Volkswagen Polo 1.5 TDI Trendline,2011,63657,Diesel,Dealer,Manual,First Owner,14,Volkswagen,4546.928571428572
Ford Endeavour 3.2 Titanium AT 4X4,2016,91505,Diesel,Dealer,Automatic,First Owner,9,Ford,10167.222222222224
Hyundai Verna 1.6 VTVT AT S Option,2016,10000,Petrol,Individual,Automatic,First Owner,9,Hyundai,1111.111111111111
Honda Brio E MT,2012,85962,Petrol,Dealer,Manual,Second Owner,13,Honda,6612.461538461538
Honda Amaze EX i-Dtech,2014,56541,Diesel,Dealer,Manual,First Owner,11,Honda,5140.090909090909
Tata Tigor 1.2 Revotron XM,2019,10000,Petrol,Individual,Manual,First Owner,6,Tata,1666.6666666666667
Maruti Alto LX,2009,120000,Petrol,Individual,Manual,Second Owner,16,Maruti,7500.0
Hyundai i20 Sportz 1.4 CRDi,2018,29000,Diesel,Dealer,Manual,First Owner,7,Hyundai,4142.857142857143
Honda Civic 1.8 V AT,2009,63500,Petrol,Dealer,Automatic,First Owner,16,Honda,3968.75
