name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,age,brand,km_per_year
BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,12,BMW,6316.666666666667
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,16,Audi,4875.0
Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,13,Hyundai,3076.923076923077
Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner,11,Mahindra,4545.454545454545
Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner,11,Honda,6727.272727272727
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,11,Maruti,5818.181818181818
Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner,13,Maruti,4615.384615384615
Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner,16,Mahindra,7500.0
Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner,16,Hyundai,4937.5
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner,6,Hyundai,2500.0
Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner,19,Maruti,4210.526315789473
Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,8,Maruti,2312.5
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,7,Maruti,1457.142857142857
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,7,Hyundai,4142.857142857143
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,7,Maruti,4000.0
Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,9,Maruti,5111.111111111111
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner,11,Hyundai,6363.636363636364
Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner,13,Maruti,4615.384615384615
Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,29,Mahindra,1206.896551724138
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,11,Honda,8181.818181818182
Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,12,Maruti,6666.666666666667
Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,20,Tata,4000.0
Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,11,Hyundai,6663.636363636364
Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,11,Toyota,8363.636363636364
Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,16,Maruti,4172.75
Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,16,Maruti,6250.0
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner,15,Chevrolet,23333.333333333332
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner,14,Toyota,16428.571428571428
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,8,Mahindra,7500.0
Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner,7,Hyundai,4428.571428571428
Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,18,Tata,2166.6666666666665
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner,16,Toyota,7500.0
Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,11,Tata,15090.90909090909
Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,19,Maruti,5789.473684210527
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner,8,Ford,4375.0
Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner,7,Maruti,8571.42857142857
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,18,Honda,3000.0
Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner,15,Hyundai,4200.0
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner,11,Skoda,10909.09090909091
Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner,20,Hyundai,6000.0
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner,11,Nissan,6909.090909090909
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner,10,Hyundai,8000.0
Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,6,Hyundai,4166.666666666667
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,9,Honda,1328.6666666666667
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,10,Honda,2000.0
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,8,Hyundai,1125.0
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,8,Mercedes-Benz,812.5
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,10,Mahindra,7000.0
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,12,Renault,10000.0
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,18,Hyundai,3222.222222222222
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,12,Mahindra,5183.333333333333
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,11,Audi,3090.909090909091
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,10,Fiat,5300.0
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,12,Audi,4083.3333333333335
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,8,Datsun,1875.0
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,12,Volkswagen,4166.666666666667
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,12,Audi,4416.666666666667
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,16,Honda,3968.75
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,7,Mercedes-Benz,1400.0
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,8,BMW,1625.0
Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,7,Volvo,3000.0
Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,17,Maruti,1716.0588235294117
BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,13,BMW,3692.3076923076924
Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner,8,Mahindra,15000.0
Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,15,Hyundai,6666.666666666667
Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,8,Nissan,3750.0
Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner,7,Mahindra,12428.57142857143
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,6,Hyundai,2500.0
Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,8,Renault,2000.0
Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner,13,Mahindra,4615.384615384615
Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,15,Maruti,4000.0
Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner,14,Maruti,7857.142857142857
Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,8,Renault,3125.0
Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,9,Hyundai,6666.666666666667
Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,11,Maruti,7213.636363636364
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner,9,Hyundai,8888.888888888889
Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,11,Mahindra,8181.818181818182
Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner,18,Maruti,5000.0
Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,11,Maruti,10909.09090909091
Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner,12,Chevrolet,5000.0
Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner,21,Maruti,2380.9523809523807
Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,7,Maruti,2857.1428571428573
Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,18,Maruti,6111.111111111111
Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,13,Tata,3846.153846153846
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,13,Toyota,7692.307692307692
Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner,9,Maruti,7777.777777777777
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner,9,Hyundai,7777.777777777777
Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner,9,Honda,5555.555555555556
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,15,Tata,5400.0
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner,13,Chevrolet,9230.76923076923
Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,10,Chevrolet,360.0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner,10,Ford,1427.2
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner,8,Ford,6151.625
Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,10,Hyundai,4000.0
Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,27,Maruti,1481.4814814814815
Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner,13,Chevrolet,6153.846153846154
Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,10,Hyundai,7000.0
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,14,Tata,5000.0
Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner,22,Hyundai,2590.909090909091
Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner,9,Tata,13333.333333333334
Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,20,Maruti,1500.0
Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,12,Hyundai,270.0
Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner,10,Hyundai,500.0
Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,7,Hyundai,1428.5714285714287
Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,10,Maruti,10000.0
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,9,Hyundai,8888.888888888889
Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner,23,Hyundai,3043.478260869565
Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner,7,Maruti,5000.0
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner,18,Hyundai,6333.333333333333
Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner,17,Hyundai,3163.0588235294117
Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner,13,Mahindra,10769.23076923077
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner,10,Chevrolet,12000.0
Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,13,Hyundai,4615.384615384615
Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner,9,Renault,2777.777777777778
Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner,11,Maruti,8181.818181818182
Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner,5,Maruti,24000.0
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,First Owner,10,Chevrolet,17500.0
Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner,14,Chevrolet,7142.857142857143
Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,11,Honda,3272.7272727272725
Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,12,Honda,2500.0
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,15,Jaguar,2666.6666666666665
Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,12,Honda,5833.333333333333
Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,8,Maruti,7500.0
Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner,14,Tata,11107.142857142857
Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,14,Hyundai,3571.4285714285716
Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner,9,Chevrolet,4444.444444444444
Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner,10,Maruti,10000.0
Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner,13,Maruti,6153.846153846154
Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner,14,Chevrolet,6428.571428571428
Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner,12,Renault,7500.0
Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner,19,Hyundai,5789.473684210527
Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,First Owner,6,Maruti,2500.0
Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner,18,Maruti,5555.555555555556
Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner,5,Maruti,8000.0
Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner,21,Maruti,2857.1428571428573
Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner,12,Tata,2083.3333333333335
Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner,9,Hyundai,2777.777777777778
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner,10,Skoda,2300.0
Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner,7,Maruti,3165.0
Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner,7,Maruti,10000.0
Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner,16,Maruti,3750.0
Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,Second Owner,16,Hyundai,6875.0
Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Individual,Manual,First Owner,7,Tata,4285.714285714285
Mahindra Bolero Power Plus SLX,2019,800000,15000,Diesel,Individual,Manual,First Owner,6,Mahindra,2500.0
Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,Second Owner,22,Maruti,4545.454545454545
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,First Owner,9,Volkswagen,7777.777777777777
Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Individual,Manual,First Owner,8,Maruti,3000.0
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,20,Honda,6000.0
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,Diesel,Individual,Automatic,First Owner,12,Mercedes-Benz,2916.6666666666665
Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Individual,Manual,First Owner,18,Maruti,4354.444444444444
Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,Second Owner,13,Renault,8461.538461538461
Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,Third Owner,15,Ford,6000.0
Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Third Owner,14,Ford,6428.571428571428
Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Individual,Manual,Third Owner,16,Maruti,9375.0
Mahindra Xylo E4,2009,229999,230000,Diesel,Individual,Manual,Third Owner,16,Mahindra,14375.0
Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Individual,Manual,Third Owner,19,Maruti,3684.2105263157896
Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Individual,Manual,First Owner,8,Maruti,10045.25
Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Individual,Manual,Third Owner,13,Hyundai,8461.538461538461
Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Individual,Manual,First Owner,13,Chevrolet,4615.384615384615
Chevrolet Cruze LTZ AT,2015,650000,50000,Diesel,Individual,Automatic,First Owner,10,Chevrolet,5000.0
Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner,11,Nissan,3636.3636363636365
BMW 5 Series 520d Luxury Line,2017,2900000,40000,Diesel,Individual,Automatic,First Owner,8,BMW,5000.0
Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000,Diesel,Dealer,Manual,First Owner,12,Chevrolet,1666.6666666666667
Hyundai EON Era Plus Option,2014,265000,55000,Petrol,Dealer,Manual,First Owner,11,Hyundai,5000.0
Fiat Linea T Jet Emotion,2018,890000,1136,Petrol,Dealer,Manual,First Owner,7,Fiat,162.28571428571428
Renault Scala RxL,2013,365000,55000,Petrol,Dealer,Manual,First Owner,12,Renault,4583.333333333333
Ford Figo Petrol Titanium,2014,350000,43000,Petrol,Dealer,Manual,First Owner,11,Ford,3909.090909090909
Maruti Ciaz ZDi SHVS,2016,685000,60000,Diesel,Individual,Manual,First Owner,9,Maruti,6666.666666666667
Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2650,Diesel,Dealer,Manual,First Owner,7,Skoda,378.57142857142856
Mahindra XUV500 W6 2WD,2017,1000000,40000,Diesel,Individual,Manual,First Owner,8,Mahindra,5000.0
Mahindra XUV300 W8 Option,2019,1150000,15000,Petrol,Dealer,Manual,First Owner,6,Mahindra,2500.0
Maruti Ertiga SHVS ZDI,2016,450000,115962,Diesel,Individual,Manual,Second Owner,9,Maruti,12884.666666666666
Nissan Terrano XE D,2015,590000,65000,Diesel,Dealer,Manual,First Owner,10,Nissan,6500.0
Maruti S-Cross Facelift,2017,800000,40000,Diesel,Individual,Manual,First Owner,8,Maruti,5000.0
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000,58000,Diesel,Dealer,Manual,First Owner,13,Hyundai,4461.538461538462
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000,15000,Diesel,Individual,Automatic,First Owner,12,Mercedes-Benz,1250.0
Hyundai EON Era Plus,2012,235000,54000,Petrol,Dealer,Manual,First Owner,13,Hyundai,4153.846153846154
Volkswagen Ameo 1.5 TDI Highline,2017,640000,56000,Diesel,Dealer,Manual,First Owner,8,Volkswagen,7000.0
Maruti Alto LX,2006,52000,120000,Petrol,Individual,Manual,Third Owner,19,Maruti,6315.789473684211
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,90000,LPG,Individual,Manual,Second Owner,16,Maruti,5625.0
Maruti Alto LX,2012,140000,70000,Petrol,Individual,Manual,Second Owner,13,Maruti,5384.615384615385
Hyundai Verna i (Petrol),2008,120000,90000,Petrol,Individual,Manual,Second Owner,17,Hyundai,5294.117647058823
Mahindra Renault Logan 1.5 DLS,2008,89999,213000,Diesel,Individual,Manual,First Owner,17,Mahindra,12529.411764705883
Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000,120000,Diesel,Individual,Manual,First Owner,13,Chevrolet,9230.76923076923
Mahindra Scorpio S11 BSIV,2017,1500000,20000,Diesel,Individual,Manual,First Owner,8,Mahindra,2500.0
Hyundai i20 Active 1.2 SX,2017,700000,10000,Petrol,Individual,Manual,First Owner,8,Hyundai,1250.0
Maruti SX4 Celebration Diesel,2012,285000,80000,Diesel,Individual,Manual,Second Owner,13,Maruti,6153.846153846154
Hyundai Grand i10 Magna,2015,390000,90000,Petrol,Individual,Manual,First Owner,10,Hyundai,9000.0
Maruti Alto LXi BSIII,2008,125000,80000,Petrol,Individual,Manual,First Owner,17,Maruti,4705.882352941177
Maruti SX4 Zxi with Leather BSIII,2008,225000,60000,Petrol,Individual,Manual,Second Owner,17,Maruti,3529.4117647058824
Hyundai i10 Era,2011,175000,139000,Petrol,Individual,Manual,Second Owner,14,Hyundai,9928.57142857143
Toyota Innova 2.5 V Diesel 7-seater,2011,1075000,160000,Diesel,Individual,Manual,Second Owner,14,Toyota,11428.57142857143
Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Individual,Manual,First Owner,11,Honda,13636.363636363636
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,15,Toyota,10866.666666666666
Tata Indica V2 2001-2011 DLS BSIII,2009,90000,120000,Diesel,Dealer,Manual,First Owner,16,Tata,7500.0
Tata Indica Vista TDI LS,2011,120000,120000,Diesel,Individual,Manual,Second Owner,14,Tata,8571.42857142857
Chevrolet Beat Diesel LS,2012,220000,100000,Diesel,Individual,Manual,Second Owner,13,Chevrolet,7692.307692307692
Tata Zest Quadrajet 1.3 75PS XE,2015,300000,140000,Diesel,Dealer,Manual,First Owner,10,Tata,14000.0
Skoda Fabia 1.2L Diesel Ambiente,2010,180000,87000,Diesel,Dealer,Manual,Second Owner,15,Skoda,5800.0
Maruti 800 Std,2013,170000,70000,Petrol,Individual,Manual,First Owner,12,Maruti,5833.333333333333
Ford Figo Petrol Titanium,2015,300000,50000,Petrol,Individual,Manual,Second Owner,10,Ford,5000.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,1050000,70000,Diesel,Individual,Manual,First Owner,11,Toyota,6363.636363636364
